"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 224, 13, 70, 307
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 540, 20, 145, 705
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 125, 676, 28, 829
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 197, 295, 19, 511
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 640, 41, 150, 831
"Total", "-", 1738, 1045, 413, 3196
