"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 110, 7, 34, 151
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 114, 13, 30, 157
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 115, 322, 26, 463
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\models.py", "Python", 382, 5, 110, 497
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 62, 103, 12, 177
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 355, 42, 70, 467
"Total", "-", 1150, 492, 283, 1925
