"filename", "language", "Python", "comment", "blank", "total"
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\__init__.py", "Python", 12, 0, 1, 13
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\base.py", "Python", 224, 10, 70, 304
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\demo.py", "Python", 526, 22, 140, 688
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\implementations.py", "Python", 125, 708, 28, 861
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\repository.py", "Python", 192, 294, 18, 504
"c:\Users\adigu\Desktop\oop_ödev\app\modules\module_3\services.py", "Python", 635, 39, 147, 821
"Total", "-", 1714, 1073, 404, 3191
